molecule_chembl_id,pIC50,npr1,npr2,SMILES
CHEMBL44416,6.0409584,0.11800634,0.93931097,[H]/N=c1\[nH]cc(/C=C/C(=O)N(C)Cc2cc3ccccc3n2C)cc1C
CHEMBL45433,6.0268722,0.11834121,0.96677363,CC(=O)/N=c1\[nH]cc(/C=C/C(=O)N(C)Cc2cc3ccccc3n2C)cc1C
CHEMBL46425,7.6989698,0.15369686,0.88815516,Cc1cccc2c(CN(C)C(=O)C/C=c3/cnc4c(c3)CCC(=O)N=4)c(C)n(C)c12
CHEMBL5268904,6.0763955,0.063685179,0.9634307,O=C1N=c2nc/c(=C/CC(=O)N3C[C@@H]4CC(c5ccsc5)=C[C@H]4C3)cc2CO1
CHEMBL5269135,6.1812282,0.068200611,0.93897182,COc1cncc(C(=O)/N=c2/ccc(/C=C/C(=O)N3C[C@@H]4CC(c5ccnn5C)=C[C@H]4C3)c[nH]2)c1
CHEMBL5273284,6.0585151,0.084343761,0.93002278,O=C1CNCc2c/c(=C\CC(=O)N3C[C@@H]4CC(c5ccccc5)=C[C@H]4C3)cnc2=N1
CHEMBL5274978,6.4685211,0.21040262,0.95957845,Cc1cccc(Cl)c1Cc1c(Cl)n(Cc2cccc(Cl)c2)ccc1=O
CHEMBL5276897,6.4559321,0.19217195,0.94980264,Cc1cccc(Cl)c1Cc1c(Cl)n(Cc2cccs2)ccc1=O
CHEMBL5277493,4.3968558,0.39045677,0.92662752,C=CC(C)(C)[C@@]12CC(=O)C(=O)N3/C(=C/c4c[nH]cn4)C(=O)N[C@]31N(OC)c1ccccc12
CHEMBL5283342,4.7878122,0.094911203,0.92572337,CC(C)CCCC/C=C\CCCCCCCC(=O)O
CHEMBL5283864,4.7958798,0.068297006,0.95490396,CC(C)CCC/C=C\CCCCCCCC(=O)O
CHEMBL5291446,6.0343814,0.13964115,0.93367952,O=C1CNCc2c/c(=C\CC(=O)N3C[C@H]4CC(c5ccccc5)=C[C@H]4C3)cnc2=N1
CHEMBL565827,7.1487417,0.11807301,0.93160486,CCCOc1c(CN(C)C(=O)C/C=c2\cnc3c(c2)CC2(CCNCC2)C(=O)N=3)cccc1OC
CHEMBL566647,7.318759,0.07726948,0.97879732,Cc1c(CN(C)C(=O)C/C=c2\cnc3c(c2)CC2(CCNCC2)C(=O)N=3)sc2ccccc12
CHEMBL566655,7.5228786,0.23040868,0.80120724,Cc1c(CN(C)C(=O)C/C=c2/cnc3c(c2)CCC(=O)N=3)sc2ccccc12
