NEW_SMILES,similarity,ppIC$_{50}$ SVR,ppIC$_{50}$ Ridge,ppIC$_{50}$ RFR,mean,std
COc1cc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)cc1C,0.74,6.25645251787296,6.52448318084012,6.32889852101662,6.3699447399099,0.138649569551189
Cc1ccc(Oc2cn(C)c(COc3ccc(OCC4CC4)cc3)cc2=O)c(C)c1,0.735849056603774,6.65662734000321,6.73801435500758,6.39072230021451,6.59512133174177,0.181632003291791
CCNc1cc(C)ccc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.735849056603774,6.83004655278491,6.58331319339925,6.3250432680102,6.57946767139812,0.252523603724301
CCNc1ccc(OCc2cc(=O)c(Oc3ccc(C)cc3C)cn2C)cc1,0.735849056603774,6.59971655833492,6.2418312382774,6.41509696350735,6.41888158670656,0.178972674192847
CCNc1ccc(Oc2cn(C)c(COc3ccccc3)cc2=O)c(C)c1,0.735849056603774,6.48421799081138,6.41442891567298,6.41086041696237,6.43650244114891,0.0413613806038396
Cc1c[nH]cc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.73469387755102,6.14439525308481,6.54568349321363,6.26455588475173,6.31821154368339,0.205954510069492
Cc1cn(C)cc1Oc1cn(C)c(COc2ccccc2)cc1=O,0.73469387755102,6.35880472142566,6.82041321466175,6.30963750456026,6.49628514688256,0.281777584355602
Cc1ccc(Oc2cn(C)c(COc3cn(C)c4ccccc34)cc2=O)c(C)c1,0.730769230769231,6.42878093961806,6.57759004826268,6.37372416514056,6.46003171767377,0.105464605067793
Cc1ccc(Oc2cn(C)c(COc3cnc(=O)n(C)c3)cc2=O)c(C)c1,0.730769230769231,6.53947555931022,6.7270355114014,6.39195130448722,6.55282079173294,0.167940250839809
Cc1ccc(Oc2cn(C)c(COc3ccccn3)cc2=O)c(C)c1,0.730769230769231,6.07003520467259,6.59952537856788,6.290487254245,6.32001594582849,0.265977289975838
