NEW_SMILES,pIC50,Shape Index,Molecular Flexibility,Molecular Complexity
O=C1N=c2ncc(=CCC(=O)N3CC4C=C(c5ccsc5)CC4C3)cc2CO1,6.07639547797281,0.64286,0.40377,0.84047
COc1cncc(C(=O)N=c2ccc(C=CC(=O)N3CC4C=C(c5ccnn5C)CC4C3)c[nH]2)c1,6.18122839337903,0.62857,0.28147,0.85699
O=C1CNCc2cc(=CCC(=O)N3CC4C=C(c5ccccc5)CC4C3)cnc2=N1,6.05851495677461,0.63333,0.42565,0.83271
Cc1cccc(Cl)c1Cc1c(Cl)n(Cc2cccc(Cl)c2)ccc1=O,6.46852108295774,0.52,0.48133,0.79217
Cc1cccc(Cl)c1Cc1c(Cl)n(Cc2cccs2)ccc1=O,6.45593195564972,0.52174,0.47117,0.79924
C=CC(C)(C)C12CC(=O)C(=O)N3C(=Cc4c[nH]cn4)C(=O)NC31N(OC)c1ccccc12,4.39685562737982,0.34375,0.23394,1.0015
CC(C)CCCC/C=C\CCCCCCCC(=O)O,4.78781239559604,0.89474,0.61224,0.31389
CC(C)CCC/C=C\CCCCCCCC(=O)O,4.79588001734407,0.88889,0.61411,0.31389
O=C1CNCc2cc(=CCC(=O)N3C[C@H]4CC(c5ccccc5)=C[C@H]4C3)cnc2=N1,6.03438127682957,0.63333,0.42565,0.83521
CCCOc1c(CN(C)C(=O)CC=c2cnc3c(c2)CC2(CCNCC2)C(=O)N=3)cccc1OC,7.14874165128093,0.54286,0.54159,0.86049
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CC2(CCNCC2)C(=O)N=3)sc2ccccc12,7.31875876262441,0.54545,0.47104,0.87307
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CCC(=O)N=3)sc2ccccc12,7.52287874528034,0.60714,0.51311,0.83603
Cc1c(CN(C)C(=O)CC=c2cnc3c(c2)CC2(CCN(C)CC2)C(=O)N=3)sc2ccccc12,7.85387196432176,0.55882,0.46141,0.87495
